indice,x_mm,y_mm,radio_global_mm,theta_global_grados
0,255.000000,0.000000,255.000000,0.000000
1,255.213264,-0.650476,255.214093,-0.146033
2,255.441280,-1.295929,255.444567,-0.290676
3,255.683929,-1.936025,255.691258,-0.433832
4,255.941085,-2.570431,255.953993,-0.575405
5,256.212616,-3.198819,256.232584,-0.715302
6,256.498381,-3.820864,256.526838,-0.853429
7,256.798231,-4.436242,256.836547,-0.989698
8,257.112011,-5.044636,257.161495,-1.124021
9,257.439559,-5.645729,257.501458,-1.256313
10,257.780705,-6.239211,257.856199,-1.386491
11,258.135271,-6.824773,258.225475,-1.514476
12,258.503075,-7.402113,258.609032,-1.640189
13,258.883926,-7.970931,259.006608,-1.763557
14,259.277626,-8.530932,259.417933,-1.884506
15,259.683971,-9.081826,259.842730,-2.002967
16,260.102751,-9.623328,260.280713,-2.118873
17,260.533749,-10.155157,260.731589,-2.232161
18,260.976741,-10.677037,261.195058,-2.342769
19,261.431497,-11.188698,261.670814,-2.450639
20,261.897783,-11.689875,262.158544,-2.555716
21,262.375357,-12.180308,262.657929,-2.657946
22,262.863970,-12.659743,263.168645,-2.757281
23,263.363370,-13.127932,263.690362,-2.853673
24,263.873298,-13.584631,264.222746,-2.947079
25,264.393490,-14.029604,264.765457,-3.037457
26,264.923675,-14.462621,265.318151,-3.124770
27,265.463581,-14.883458,265.880481,-3.208981
28,266.012925,-15.291895,266.452094,-3.290058
29,266.571425,-15.687722,267.032637,-3.367971
30,267.138790,-16.070733,267.621751,-3.442693
31,267.714727,-16.440730,268.219076,-3.514199
32,268.298937,-16.797521,268.824248,-3.582469
33,268.891117,-17.140921,269.436901,-3.647481
34,269.490960,-17.470753,270.056670,-3.709221
35,270.098156,-17.786845,270.683183,-3.767674
36,270.712390,-18.089033,271.316072,-3.822828
37,271.333343,-18.377161,271.954965,-3.874674
38,271.960694,-18.651080,272.599490,-3.923205
39,272.594118,-18.910647,273.249274,-3.968417
40,273.233286,-19.155729,273.903944,-4.010308
41,273.877867,-19.386197,274.563127,-4.048877
42,274.527528,-19.601934,275.226451,-4.084127
43,275.181930,-19.802826,275.893542,-4.116062
44,275.840737,-19.988770,276.564030,-4.144688
45,276.503605,-20.159670,277.237544,-4.170014
46,277.170191,-20.315436,277.913713,-4.192049
47,277.840151,-20.455988,278.592170,-4.210806
48,278.513136,-20.581254,279.272546,-4.226298
49,279.188799,-20.691168,279.954478,-4.238541
50,279.866788,-20.785674,280.637601,-4.247553
51,280.546753,-20.864722,281.321555,-4.253351
52,281.228341,-20.928272,282.005979,-4.255956
53,281.911199,-20.976290,282.690518,-4.255390
54,282.594973,-21.008751,283.374816,-4.251677
55,283.279309,-21.025640,284.058523,-4.244841
56,283.963852,-21.026947,284.741289,-4.234907
57,284.648247,-21.012671,285.422769,-4.221904
58,285.332141,-20.982820,286.102620,-4.205859
59,286.015177,-20.937409,286.780502,-4.186803
60,286.697003,-20.876462,287.456080,-4.164765
61,287.377264,-20.800010,288.129021,-4.139779
62,288.055609,-20.708094,288.798995,-4.111875
63,288.731687,-20.600760,289.465677,-4.081089
64,289.405145,-20.478064,290.128746,-4.047455
65,290.075637,-20.340070,290.787884,-4.011008
66,290.742813,-20.186850,291.442777,-3.971785
67,291.406329,-20.018482,292.093115,-3.929823
68,292.065840,-19.835055,292.738594,-3.885160
69,292.721005,-19.636662,293.378911,-3.837834
70,293.371484,-19.423408,294.013769,-3.787885
71,294.016941,-19.195402,294.642877,-3.735352
72,294.657040,-18.952762,295.265945,-3.680277
73,295.291450,-18.695615,295.882690,-3.622699
74,295.919842,-18.424093,296.492833,-3.562660
75,296.541891,-18.138337,297.096099,-3.500204
76,297.157274,-17.838496,297.692219,-3.435371
77,297.765672,-17.524725,298.280927,-3.368205
78,298.366770,-17.197186,298.861963,-3.298749
79,298.960257,-16.856049,299.435070,-3.227048
80,299.545824,-16.501491,300.000000,-3.153144
